number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,satisfaction_level,last_evaluation,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_low,salary_medium
2,157,3,0,1,0,0.38,0.53,0,0,0,0,0,0,1,0,0,1,0
5,262,6,0,1,0,0.8,0.86,0,0,0,0,0,0,1,0,0,0,1
7,272,4,0,1,0,0.11,0.88,0,0,0,0,0,0,1,0,0,0,1
5,223,5,0,1,0,0.72,0.87,0,0,0,0,0,0,1,0,0,1,0
2,159,3,0,1,0,0.37,0.52,0,0,0,0,0,0,1,0,0,1,0
2,153,3,0,1,0,0.41,0.5,0,0,0,0,0,0,1,0,0,1,0
6,247,4,0,1,0,0.1,0.77,0,0,0,0,0,0,1,0,0,1,0
5,259,5,0,1,0,0.92,0.85,0,0,0,0,0,0,1,0,0,1,0
5,224,5,0,1,0,0.89,1.0,0,0,0,0,0,0,1,0,0,1,0
2,142,3,0,1,0,0.42,0.53,0,0,0,0,0,0,1,0,0,1,0
2,135,3,0,1,0,0.45,0.54,0,0,0,0,0,0,1,0,0,1,0
6,305,4,0,1,0,0.11,0.81,0,0,0,0,0,0,1,0,0,1,0
4,234,5,0,1,0,0.84,0.92,0,0,0,0,0,0,1,0,0,1,0
2,148,3,0,1,0,0.41,0.55,0,0,0,0,0,0,1,0,0,1,0
2,137,3,0,1,0,0.36,0.56,0,0,0,0,0,0,1,0,0,1,0
2,143,3,0,1,0,0.38,0.54,0,0,0,0,0,0,1,0,0,1,0
2,160,3,0,1,0,0.45,0.47,0,0,0,0,0,0,1,0,0,1,0
4,255,6,0,1,0,0.78,0.99,0,0,0,0,0,0,1,0,0,1,0
2,160,3,1,1,1,0.6128299492385787,0.7161247662302965,0,0,0,0,0,0,1,0,0,1,0
5,262,5,0,1,0,0.6128299492385787,0.89,0,0,0,0,0,0,1,0,0,1,0
6,282,4,0,1,0,0.11,0.83,0,0,0,0,0,0,1,0,0,1,0
2,147,3,0,1,0,0.38,0.55,0,0,0,0,0,0,1,0,0,1,0
6,304,4,0,1,0,0.09,0.95,0,0,0,0,0,0,1,0,0,1,0
2,139,3,0,1,0,0.46,0.57,0,0,0,0,0,0,1,0,0,1,0
2,158,3,0,1,0,0.4,0.53,0,0,0,0,0,0,1,0,0,1,0
5,242,5,0,1,0,0.89,0.92,0,0,0,0,0,0,1,0,0,1,0
